Diaper time,In the diaper,Color,Texture
02/22/2023 6:43:00 PM,pee,,
02/22/2023 12:45:00 PM,pee,,
02/22/2023 8:48:00 AM,pee and poo,yellow,Mushy
02/22/2023 6:31:00 AM,pee,,
02/21/2023 8:04:00 PM,pee,,
02/21/2023 5:34:00 PM,pee,,
02/21/2023 11:59:00 AM,pee,,
02/21/2023 11:41:00 AM,pee and poo,,Solid
02/21/2023 8:06:00 AM,poo,yellow,Mushy
02/21/2023 7:15:00 AM,pee,,
02/21/2023 4:31:00 AM,pee,,
02/20/2023 7:40:00 PM,pee,,
02/20/2023 3:34:00 PM,pee and poo,green,Solid
02/20/2023 11:14:00 AM,pee,,
02/20/2023 8:33:00 AM,pee,,
02/20/2023 7:26:00 AM,pee,,
02/20/2023 3:32:00 AM,pee,,
02/19/2023 7:35:34 PM,pee,,
02/19/2023 4:27:00 PM,pee and poo,yellow,Runny
02/19/2023 12:06:00 PM,pee and poo,yellow,Solid
02/19/2023 8:54:00 AM,pee and poo,yellow,Solid
02/19/2023 4:14:00 AM,pee,,
02/18/2023 8:06:00 PM,pee,,
02/18/2023 1:00:00 PM,pee,,
02/18/2023 10:47:00 AM,pee,,
02/18/2023 8:22:00 AM,pee and poo,green,Solid
02/18/2023 7:30:00 AM,pee,,
02/17/2023 7:16:00 PM,pee,,
02/17/2023 4:59:00 PM,pee,,
02/17/2023 3:31:00 PM,pee,,
02/17/2023 12:12:00 PM,pee,,
02/17/2023 9:38:00 AM,pee and poo,green,Solid
02/17/2023 9:03:00 AM,pee,,
02/17/2023 7:08:00 AM,pee,,
02/17/2023 1:56:00 AM,pee,,
02/16/2023 7:50:23 PM,pee,,
02/16/2023 5:00:00 PM,pee,,
02/16/2023 2:54:00 PM,pee,,
02/16/2023 12:42:00 PM,pee and poo,green,Solid
02/16/2023 12:02:00 PM,pee,,
02/16/2023 9:04:00 AM,pee and poo,green,Solid
02/16/2023 7:15:00 AM,pee,,
02/16/2023 12:52:00 AM,pee,,
02/15/2023 7:57:00 PM,pee,,
02/15/2023 4:07:00 PM,pee and poo,green,Solid
02/15/2023 4:48:00 PM,pee,,
02/15/2023 10:40:00 AM,pee,,
02/15/2023 8:42:00 AM,pee,,
02/15/2023 7:05:00 AM,pee,,
02/15/2023 12:33:00 AM,pee,,
02/14/2023 6:52:00 PM,pee,,
02/14/2023 7:10:03 AM,pee,,
02/14/2023 5:19:00 PM,pee and poo,yellow,Solid
02/14/2023 4:23:00 PM,pee and poo,,Solid
02/14/2023 2:49:00 PM,pee,,
02/14/2023 12:13:00 PM,pee,,
02/14/2023 9:19:00 AM,pee,,
02/14/2023 7:22:00 AM,pee,,
02/14/2023 1:41:00 AM,pee,,
02/13/2023 10:33:00 PM,pee,,
02/13/2023 6:20:00 PM,pee,,
02/13/2023 7:03:00 PM,pee and poo,yellow,Mushy
02/13/2023 4:55:00 PM,pee,,
02/13/2023 12:16:00 PM,pee,,
02/13/2023 11:00:00 AM,pee and poo,yellow,Solid
02/13/2023 9:00:00 AM,pee,,
02/13/2023 6:58:55 AM,pee,,
02/13/2023 12:29:00 AM,pee,,
02/12/2023 6:23:08 PM,pee,,
02/12/2023 2:55:00 PM,pee,,
02/12/2023 11:21:00 AM,pee,,
02/12/2023 9:24:00 AM,pee and poo,yellow,Mushy
02/12/2023 8:14:00 AM,pee,,
02/12/2023 2:51:00 AM,pee,,
02/11/2023 7:42:00 PM,pee and poo,green,Solid
02/11/2023 4:28:00 PM,pee,,
02/11/2023 12:06:00 PM,pee,,
02/11/2023 8:24:57 AM,pee,,
02/11/2023 2:19:00 AM,pee,,
02/10/2023 8:07:00 PM,pee,,
02/10/2023 3:52:00 PM,pee,,
02/10/2023 12:47:00 PM,pee and poo,green,Solid
02/10/2023 10:04:00 AM,pee and poo,yellow,Solid
02/10/2023 8:33:00 AM,pee and poo,yellow,Solid
02/10/2023 7:40:00 AM,pee,,
02/10/2023 12:20:00 AM,pee,,
02/09/2023 6:45:00 PM,pee,,
02/09/2023 3:18:00 PM,pee,,
02/09/2023 12:45:00 PM,pee and poo,green,Solid
02/09/2023 11:12:00 AM,pee,,
02/09/2023 8:59:00 AM,pee,,
02/09/2023 7:15:00 AM,pee,,
02/09/2023 3:54:00 AM,pee,,
02/08/2023 8:21:43 PM,pee,,
02/08/2023 5:25:00 PM,pee and poo,yellow,Solid
02/08/2023 3:12:00 PM,pee,,
02/08/2023 11:18:00 AM,pee,,
02/08/2023 8:54:00 AM,pee,,
02/08/2023 7:15:00 AM,pee,,
02/07/2023 7:43:00 PM,pee and poo,yellow,Mushy
02/07/2023 4:18:00 PM,pee and poo,green,Solid
02/07/2023 4:18:00 PM,pee and poo,green,Solid
02/07/2023 2:58:00 PM,pee,,
02/07/2023 12:31:00 PM,pee and poo,yellow,Solid
02/07/2023 12:25:00 PM,pee,,
02/07/2023 9:31:00 AM,pee and poo,yellow,Solid
02/07/2023 7:31:00 AM,pee,,
02/07/2023 5:48:00 AM,pee and poo,yellow,Solid
02/06/2023 6:50:00 PM,pee,,
02/06/2023 4:19:00 PM,pee and poo,yellow,Mushy
02/06/2023 3:07:00 PM,pee and poo,yellow,Mushy
02/06/2023 11:55:00 AM,pee,,
02/06/2023 9:07:00 AM,pee,,
02/06/2023 7:16:00 AM,pee,,
02/06/2023 2:48:00 AM,pee,,
02/05/2023 6:02:00 PM,poo,yellow,Runny
02/05/2023 5:30:00 PM,pee,,
02/05/2023 1:12:00 PM,pee,,
02/05/2023 11:41:00 AM,poo,yellow,Runny
02/05/2023 9:52:00 AM,poo,yellow,Runny
02/05/2023 8:18:00 AM,pee and poo,yellow,Runny
02/05/2023 4:14:00 AM,pee and poo,yellow,Runny
02/04/2023 5:30:00 PM,poo,yellow,Runny
02/04/2023 4:16:00 PM,poo,yellow,Runny
02/04/2023 2:00:00 PM,poo,yellow,Runny
02/04/2023 11:33:00 AM,pee,,
02/04/2023 9:47:00 AM,pee and poo,yellow,Runny
02/04/2023 8:28:23 AM,poo,,
02/04/2023 7:42:00 AM,pee and poo,yellow,Mushy
02/04/2023 12:56:00 AM,pee and poo,yellow,Runny
02/03/2023 7:48:00 PM,poo,yellow,Very runny
02/03/2023 7:15:00 PM,pee and poo,yellow,Runny
02/03/2023 4:08:00 PM,pee and poo,yellow,Runny
02/03/2023 12:08:00 PM,pee,,
02/03/2023 8:46:45 AM,pee and poo,yellow,Runny
02/03/2023 7:10:00 AM,pee and poo,yellow,Runny
02/02/2023 7:44:00 PM,pee and poo,black,Solid
02/02/2023 4:03:00 PM,pee,,
02/02/2023 1:32:00 PM,pee and poo,yellow,Mushy
02/02/2023 8:13:00 AM,pee,,
02/01/2023 10:58:00 PM,pee,,
02/01/2023 5:25:00 PM,pee and poo,yellow,Mushy
02/01/2023 1:38:00 PM,pee,,
02/01/2023 9:36:00 AM,pee and poo,yellow,Mushy
02/01/2023 8:24:00 AM,pee,,
02/01/2023 2:32:00 AM,pee,,
01/31/2023 5:08:00 PM,pee and poo,green,Solid
01/31/2023 1:01:00 PM,pee,,
01/31/2023 7:31:00 AM,pee,,
01/30/2023 6:14:00 PM,pee,,
01/30/2023 3:19:00 PM,pee and poo,green,Solid
01/30/2023 2:59:00 PM,pee,,
01/30/2023 12:02:00 PM,pee,,
01/30/2023 9:37:00 AM,pee,,
01/30/2023 7:40:00 AM,pee,,
01/29/2023 11:36:00 PM,pee,,
01/29/2023 3:00:00 PM,pee,,
01/29/2023 11:53:00 AM,pee and poo,green,Mushy
01/29/2023 9:23:00 AM,pee and poo,green,Solid
01/29/2023 4:32:00 AM,pee,,
01/28/2023 8:05:00 PM,pee,,
01/28/2023 3:01:18 PM,pee,,
01/28/2023 7:17:00 AM,pee,,
01/27/2023 6:13:00 PM,pee,,
01/27/2023 4:26:00 PM,pee and poo,green,Solid
01/27/2023 3:30:00 PM,pee,,
01/27/2023 11:32:00 AM,pee and poo,green,Solid
01/27/2023 10:15:00 AM,pee,,
01/27/2023 7:27:00 AM,pee,,
01/27/2023 4:00:00 AM,pee,,
01/26/2023 6:40:00 PM,pee,,
01/26/2023 4:49:00 PM,pee and poo,green,Solid
01/26/2023 4:49:00 PM,poo,green,Solid
01/26/2023 4:06:00 PM,pee,,
01/26/2023 2:40:00 PM,pee,,
01/26/2023 11:30:00 AM,pee,,
01/26/2023 9:36:00 AM,pee,,
01/26/2023 5:40:00 AM,pee,,
01/25/2023 5:50:00 PM,pee and poo,green,Solid
01/25/2023 2:30:00 PM,pee,,
01/25/2023 12:14:00 PM,pee,,
01/25/2023 8:52:00 AM,pee,,
01/25/2023 7:35:00 AM,pee,,
01/25/2023 1:08:32 AM,pee,,
01/24/2023 6:38:33 PM,pee,,
01/24/2023 4:34:00 PM,pee,,
01/24/2023 3:30:00 PM,pee,,
01/24/2023 11:43:00 AM,pee,,
01/24/2023 9:42:00 AM,pee,,
01/24/2023 7:02:00 AM,pee,,
01/24/2023 2:31:00 AM,pee,,
01/23/2023 7:52:00 PM,pee,,
01/23/2023 5:11:00 PM,poo,green,Solid
01/23/2023 4:17:00 PM,pee,,
01/23/2023 1:50:00 PM,pee,,
01/23/2023 11:52:00 AM,pee and poo,green,
01/23/2023 9:07:00 AM,pee,,
01/23/2023 7:00:00 AM,pee,,
01/23/2023 5:03:43 AM,pee,,
01/22/2023 6:52:42 PM,pee,,
01/22/2023 3:57:58 PM,poo,green,Mushy
01/22/2023 3:00:00 PM,pee,,
01/22/2023 10:44:00 AM,poo,green,Mushy
01/22/2023 8:32:12 AM,pee,,
01/22/2023 6:02:00 AM,pee,,
01/21/2023 7:42:00 PM,pee,,
