Time of feeding,Milk type,Amount(ml),Amount(oz)
04/10/2022 11:36:00 PM,Formula,85.0,2.8742
04/10/2022 8:14:00 PM,Formula,40.0,1.3526
04/10/2022 6:41:00 PM,Formula,100.0,3.3814
04/10/2022 3:53:00 PM,Formula,75.0,2.536
04/10/2022 1:52:00 PM,Formula,100.0,3.3814
04/10/2022 10:50:00 AM,Formula,100.0,3.3814
04/10/2022 7:50:00 AM,Formula,75.0,2.536
04/10/2022 5:05:00 AM,Formula,100.0,3.3814
04/10/2022 2:05:00 AM,Formula,75.0,2.536
04/09/2022 11:21:00 PM,Formula,75.0,2.536
04/09/2022 9:15:00 PM,Formula,30.0,1.0144
04/09/2022 8:25:00 PM,Formula,60.0,2.0288
04/09/2022 7:13:00 PM,Formula,45.0,1.5216
04/09/2022 6:00:00 PM,Formula,50.0,1.6907
04/09/2022 4:55:00 PM,Formula,50.0,1.6907
04/09/2022 2:28:00 PM,Formula,95.0,3.2123
04/09/2022 10:42:00 AM,Formula,80.0,2.7051
04/09/2022 7:50:00 AM,Formula,70.0,2.367
04/09/2022 5:16:00 AM,Formula,90.0,3.0433
04/09/2022 2:43:00 AM,Formula,50.0,1.6907
04/08/2022 11:44:00 PM,Formula,60.0,2.0288
04/08/2022 10:23:00 PM,Formula,20.0,0.6763
04/08/2022 8:20:00 PM,Formula,95.0,3.2123
04/08/2022 6:45:00 PM,Formula,90.0,3.0433
04/08/2022 4:05:00 PM,Formula,90.0,3.0433
04/08/2022 12:32:00 PM,Formula,65.0,2.1979
04/08/2022 10:47:03 AM,Formula,60.0,2.0288
04/08/2022 7:39:00 AM,Formula,90.0,3.0433
04/08/2022 3:52:00 AM,Formula,100.0,3.3814
04/08/2022 12:05:00 AM,Formula,75.0,2.536
04/07/2022 10:24:00 PM,Formula,20.0,0.6763
04/07/2022 9:27:00 PM,Formula,5.0,0.1691
04/07/2022 8:30:00 PM,Formula,60.0,2.0288
04/07/2022 7:45:00 PM,Formula,35.0,1.1835
04/07/2022 5:59:00 PM,Formula,65.0,2.1979
04/07/2022 3:10:00 PM,Formula,65.0,2.1979
04/07/2022 12:45:00 PM,Formula,55.0,1.8598
04/07/2022 11:00:00 AM,Formula,55.0,1.8598
04/07/2022 9:22:00 AM,Formula,50.0,1.6907
04/07/2022 7:45:00 AM,Formula,35.0,1.1835
04/07/2022 5:57:00 AM,Formula,75.0,2.536
04/07/2022 2:28:00 AM,Formula,60.0,2.0288
04/07/2022 12:45:00 AM,Formula,80.0,2.7051
04/06/2022 10:58:00 PM,Formula,30.0,1.0144
04/06/2022 8:15:00 PM,Formula,55.0,1.8598
04/06/2022 6:22:00 PM,Formula,50.0,1.6907
04/06/2022 4:40:00 PM,Formula,65.0,2.1979
04/06/2022 2:55:00 PM,Formula,40.0,1.3526
04/06/2022 1:28:00 PM,Formula,40.0,1.3526
04/06/2022 11:41:00 AM,Formula,85.0,2.8742
04/06/2022 8:35:00 AM,Formula,35.0,1.1835
04/06/2022 6:10:00 AM,Formula,65.0,2.1979
04/06/2022 3:17:00 AM,Formula,80.0,2.7051
04/05/2022 11:32:00 PM,Formula,85.0,2.8742
04/05/2022 8:50:31 PM,Formula,25.0,0.8453
04/05/2022 7:55:00 PM,Formula,50.0,1.6907
04/05/2022 7:30:00 PM,Formula,30.0,1.0144
04/05/2022 4:45:00 PM,Formula,80.0,2.7051
04/05/2022 2:10:00 PM,Formula,40.0,1.3526
04/05/2022 12:20:00 PM,Formula,65.0,2.1979
04/05/2022 10:40:00 AM,Formula,30.0,1.0144
04/05/2022 9:55:00 AM,Formula,5.0,0.1691
04/05/2022 8:45:00 AM,Formula,40.0,1.3526
04/05/2022 7:37:00 AM,Formula,25.0,0.8453
04/05/2022 5:22:00 AM,Formula,50.0,1.6907
04/05/2022 3:41:00 AM,Formula,25.0,0.8453
04/05/2022 2:35:00 AM,Formula,30.0,1.0144
04/04/2022 11:32:00 PM,Formula,60.0,2.0288
04/04/2022 8:40:00 PM,Formula,40.0,1.3526
04/04/2022 7:56:00 PM,Formula,5.0,0.1691
04/04/2022 7:06:00 PM,Formula,35.0,1.1835
04/04/2022 6:12:00 PM,Formula,60.0,2.0288
04/04/2022 4:26:00 PM,Formula,50.0,1.6907
04/04/2022 2:50:00 PM,Formula,30.0,1.0144
04/04/2022 12:41:13 PM,Formula,50.0,1.6907
04/04/2022 10:18:00 AM,Formula,25.0,0.8453
04/04/2022 9:23:00 AM,Formula,10.0,0.3381
04/04/2022 7:00:00 AM,Formula,75.0,2.536
04/04/2022 4:23:00 AM,Formula,65.0,2.1979
04/04/2022 2:31:00 AM,Formula,60.0,2.0288
04/03/2022 11:33:00 PM,Formula,70.0,2.367
04/03/2022 8:42:00 PM,Formula,75.0,2.536
04/03/2022 6:40:00 PM,Formula,60.0,2.0288
04/03/2022 5:09:00 PM,Formula,75.0,2.536
04/03/2022 2:13:00 PM,Formula,50.0,1.6907
04/03/2022 12:10:00 PM,Formula,80.0,2.7051
04/03/2022 9:50:00 AM,Formula,65.0,2.1979
04/03/2022 7:56:00 AM,Formula,45.0,1.5216
04/03/2022 6:52:00 AM,Formula,15.0,0.5072
04/03/2022 4:57:00 AM,Formula,80.0,2.7051
04/03/2022 2:32:00 AM,Formula,85.0,2.8742
04/02/2022 11:43:00 PM,Formula,65.0,2.1979
04/02/2022 10:23:00 PM,Formula,10.0,0.3381
04/02/2022 9:21:00 PM,Formula,25.0,0.8453
04/02/2022 8:32:00 PM,Formula,55.0,1.8598
04/02/2022 7:00:00 PM,Formula,65.0,2.1979
04/02/2022 5:01:00 PM,Formula,65.0,2.1979
04/02/2022 3:02:00 PM,Formula,65.0,2.1979
04/02/2022 12:58:00 PM,Formula,80.0,2.7051
04/02/2022 9:56:00 AM,Formula,70.0,2.367
04/02/2022 6:49:00 AM,Formula,70.0,2.367
04/02/2022 4:26:00 AM,Formula,60.0,2.0288
04/02/2022 2:08:00 AM,Formula,70.0,2.367
04/01/2022 11:34:00 PM,Formula,60.0,2.0288
04/01/2022 8:34:00 PM,Formula,100.0,3.3814
04/01/2022 5:38:00 PM,Formula,85.0,2.8742
04/01/2022 3:40:00 PM,Formula,70.0,2.367
04/01/2022 1:03:00 PM,Formula,95.0,3.2123
04/01/2022 9:57:00 AM,Formula,60.0,2.0288
04/01/2022 8:00:00 AM,Formula,70.0,2.367
04/01/2022 5:02:00 AM,Formula,80.0,2.7051
04/01/2022 2:08:00 AM,Formula,100.0,3.3814
03/31/2022 10:41:00 PM,Formula,50.0,1.6907
03/31/2022 8:10:00 PM,Formula,35.0,1.1835
03/31/2022 7:20:00 PM,Formula,60.0,2.0288
03/31/2022 5:04:00 PM,Formula,90.0,3.0433
03/31/2022 2:25:00 PM,Formula,70.0,2.367
03/31/2022 11:26:00 AM,Formula,55.0,1.8598
03/31/2022 9:58:00 AM,Formula,65.0,2.1979
03/31/2022 7:40:00 AM,Formula,65.0,2.1979
03/31/2022 5:31:00 AM,Formula,70.0,2.367
03/31/2022 2:46:00 AM,Formula,70.0,2.367
03/30/2022 11:56:00 PM,Formula,65.0,2.1979
03/30/2022 8:56:00 PM,Formula,55.0,1.8598
03/30/2022 8:02:00 PM,Formula,50.0,1.6907
03/30/2022 6:55:00 PM,Formula,25.0,0.8453
03/30/2022 5:30:00 PM,Formula,70.0,2.367
03/30/2022 3:00:00 PM,Formula,70.0,2.367
03/30/2022 12:51:00 PM,Formula,40.0,1.3526
03/30/2022 11:30:00 AM,Formula,45.0,1.5216
