Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
2022/10/14 13:00:00,,60,g,
2022/10/13 13:00:00,,105,g,
2022/10/12 17:12:00,,30,g,
2022/10/12 12:46:00,,110,g,
2022/10/11 11:15:00,,50,g,
2022/10/11 14:15:00,,50,g,
2022/10/10 10:32:00,,50,g,
2022/10/10 16:00:00,,50,g,
2022/10/09 11:45:00,,60,g,
2022/10/09 17:00:00,,15,g,
2022/10/09 17:45:00,,15,g,
2022/10/08 11:16:00,,70,g,
2022/10/08 14:51:00,,40,g,
2022/10/07 12:10:00,,50,g,
2022/10/07 15:25:00,,40,g,
2022/10/06 15:52:00,,60,g,
2022/10/06 11:30:00,,50,g,
2022/10/05 10:48:00,,50,g,
2022/10/05 15:50:00,,55,g,
2022/10/04 11:00:00,,50,g,
2022/10/04 16:29:00,,60,g,
2022/10/03 11:30:00,,50,g,
2022/10/03 15:01:00,,50,g,
2022/10/02 11:26:00,,50,g,
2022/10/02 15:22:00,,50,g,
2022/10/02 17:23:00,,10,g,
2022/10/01 11:36:00,,50,g,
2022/10/01 16:55:00,,30,g,
2022/09/30 11:30:00,,50,g,
2022/09/30 15:05:00,,50,g,
2022/09/29 11:00:00,,50,g,
2022/09/29 15:12:00,,40,g,
2022/09/28 17:00:00,,45,g,
2022/09/28 10:50:00,,45,g,
2022/09/27 14:11:00,,55,g,
2022/09/27 11:00:00,,55,g,
2022/09/26 16:30:00,,50,g,
2022/09/26 11:10:00,,50,g,
2022/09/25 16:55:00,,33,g,
2022/09/25 11:15:00,,52,g,
2022/09/24 12:58:00,,12,g,
2022/09/23 14:20:00,,30,g,
2022/09/23 11:35:00,,10,g,
2022/09/22 11:00:00,,55,g,
2022/09/22 14:15:00,,25,g,
2022/09/21 11:00:00,,50,g,
2022/09/21 16:00:00,,50,g,
2022/09/20 11:05:00,,50,g,
2022/09/19 12:10:00,,55,g,
2022/09/19 14:45:00,,50,g,
2022/09/18 11:25:00,,50,g,
2022/09/18 16:30:00,,40,g,
2022/09/17 11:45:00,,30,g,
2022/09/17 10:26:00,,25,g,
2022/09/17 18:10:00,,30,g,
2022/09/16 10:30:00,,50,g,
2022/09/16 14:15:00,,50,g,
2022/09/15 11:14:00,,50,g,
2022/09/15 16:19:00,,55,g,
2022/09/14 11:19:00,,55,g,
2022/09/14 16:49:00,,55,g,
2022/09/13 10:49:00,,50,g,
2022/09/12 11:56:00,,80,g,
2022/09/11 11:37:21,,40,g,
2022/09/10 16:09:00,,25,g,
2022/09/10 11:25:00,,25,g,
2022/09/10 12:33:00,,20,g,
2022/09/09 11:00:00,,45,g,
2022/09/09 14:08:00,,30,g,
2022/09/08 10:25:00,,90,g,
2022/09/07 11:07:00,,40,g,
2022/09/06 18:10:00,,12,g,
2022/09/06 11:30:00,,50,g,
2022/09/05 17:30:00,,30,g,
2022/09/05 11:10:00,,30,g,
2022/09/04 12:50:00,,20,g,
2022/09/03 12:47:00,,25,g,
2022/09/02 17:30:00,,25,g,
2022/08/31 12:24:00,,20,g,
2022/08/31 16:33:00,,5,g,
2022/08/30 11:35:00,,4,g,
2022/08/29 08:42:00,,18,g,
2022/08/28 08:30:00,,5,g,
2022/08/28 12:11:00,,13,g,
2022/08/27 16:05:00,,27,g,
2022/08/27 12:05:00,,40,g,
2022/08/26 16:02:00,,5,g,
2022/08/22 12:00:00,,8,g,
2022/08/21 12:51:00,,15,g,
2022/08/20 12:40:00,,10,g,
2022/08/19 12:13:00,,15,g,
2022/08/18 16:16:00,,8,g,
2022/08/17 13:12:00,,11,g,
2022/08/16 12:43:00,,13,g,
2022/08/15 11:41:00,,12,g,
2022/08/14 12:15:00,,10,g,
2022/08/13 08:19:00,,6,g,
2022/08/12 12:50:00,,5,g,
2022/08/10 12:52:00,,10,g,
2022/08/09 12:40:00,,9,g,
2022/08/08 12:43:00,,5,g,
2022/08/08 08:25:00,,5,g,
2022/08/07 12:43:00,,19,g,
2022/08/07 08:43:00,,27,g,
2022/08/05 08:37:00,,11,g,
2022/08/03 16:20:00,,11,g,
2022/08/03 12:05:00,,7,g,
2022/08/03 08:50:00,,3,g,
2022/07/26 12:47:00,,6,g,
2022/07/25 12:40:00,,2,g,
2022/07/25 11:25:00,,8,g,
2022/07/24 11:45:00,,5,g,
