Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
01/27/2020 7:30:14 PM,Oatmeal,3.9,oz,Like it!
01/27/2020 7:36:53 PM,Fruit smoothies,2.15,oz,Like it!
01/27/2020 5:46:35 PM,Fruit smoothies,1.9,oz,Like it!
01/26/2020 3:52:56 PM,Fruit smoothies,2.0,oz,Like it!
01/26/2020 7:42:09 PM,Oatmeal,4.0,oz,Like it!
01/26/2020 9:44:59 AM,Oatmeal,3.5,oz,Like it!
01/26/2020 9:32:31 AM,Fruit smoothies,2.9,oz,Like it!
01/26/2020 4:04:45 PM,Oatmeal,1.0,oz,Like it!
01/26/2020 5:40:38 PM,Oatmeal,2.9,oz,Like it!
01/26/2020 5:56:11 PM,Rice,0.8,oz,Like it!
01/26/2020 12:40:14 PM,Oatmeal,3.5,oz,Like it!
01/26/2020 7:38:24 PM,Fruit smoothies,1.0,oz,Like it!
01/25/2020 9:56:18 AM,Oatmeal,2.4,oz,Like it!
01/25/2020 5:46:09 PM,Fruit smoothies,3.75,oz,Like it!
01/25/2020 12:25:53 PM,Oatmeal,3.35,oz,Love it!
01/25/2020 7:20:38 PM,Oatmeal,2.5,oz,Like it!
01/25/2020 10:34:17 AM,Fruit smoothies,1.05,oz,Hate it!
01/25/2020 5:12:33 PM,Oatmeal,3.2,oz,Love it!
01/25/2020 6:45:02 PM,Rice,1.0,oz,Love it!
01/24/2020 12:23:07 PM,Oatmeal,4.0,oz,Love it!
01/24/2020 6:45:33 PM,Oatmeal,4.15,oz,Love it!
01/24/2020 9:40:28 AM,Oatmeal,3.25,oz,Love it!
01/24/2020 4:08:17 PM,Fruit smoothies,1.4,oz,Hate it!
01/24/2020 7:47:25 PM,Oatmeal,1.0,oz,Like it!
01/23/2020 12:15:01 PM,Fruit smoothies,3.75,oz,Like it!
01/23/2020 9:40:49 AM,Avocados,0.5,oz,Like it!
01/23/2020 12:30:17 PM,Avocados,0.5,oz,Like it!
01/23/2020 9:50:28 AM,Oatmeal,2.5,oz,Like it!
01/23/2020 12:50:42 PM,Nuts,0.2,oz,Like it!
01/23/2020 10:00:58 AM,Fruit smoothies,3.75,oz,Like it!
01/23/2020 5:00:51 PM,Rice,0.5,oz,Love it!
01/23/2020 3:10:59 PM,Oatmeal,2.5,oz,Like it!
01/23/2020 3:35:29 PM,Yogurt,2.0,oz,Like it!
01/23/2020 12:05:47 PM,Oatmeal,2.5,oz,Like it!
01/22/2020 6:19:03 PM,Rice,0.5,oz,Like it!
01/22/2020 4:20:03 PM,Oatmeal,2.6,oz,Like it!
01/22/2020 9:37:44 AM,Oatmeal,1.8,oz,Like it!
01/22/2020 4:05:17 PM,Fruit smoothies,0.85,oz,Like it!
01/22/2020 12:31:47 PM,Oatmeal,2.6,oz,Like it!
01/22/2020 12:37:01 PM,Fruit smoothies,0.5,oz,Like it!
01/22/2020 6:05:32 PM,Fruit smoothies,3.75,oz,Like it!
01/22/2020 9:30:36 AM,Fruit smoothies,2.15,oz,Like it!
01/21/2020 4:24:02 PM,Oatmeal,2.8,oz,Like it!
01/21/2020 6:20:58 PM,Fruit smoothies,2.8,oz,Like it!
01/21/2020 4:00:51 PM,Fruit smoothies,0.2,oz,Hate it!
01/21/2020 9:20:50 AM,Oatmeal,2.7,oz,Like it!
01/21/2020 9:30:50 AM,Fruit smoothies,2.85,oz,Like it!
01/21/2020 12:05:50 PM,Oatmeal,2.9,oz,Like it!
01/21/2020 12:11:58 PM,Fruit smoothies,1.0,oz,Like it!
01/20/2020 12:30:43 PM,Rice,1.0,oz,Like it!
01/20/2020 9:30:25 AM,Oatmeal,2.5,oz,Like it!
01/20/2020 3:35:25 PM,Yogurt,3.9,oz,Like it!
01/20/2020 9:40:42 AM,Fruit smoothies,3.75,oz,Like it!
01/20/2020 3:50:41 PM,Oatmeal,2.6,oz,Like it!
01/20/2020 12:05:09 PM,Oatmeal,2.5,oz,Like it!
01/20/2020 12:15:24 PM,Fruit smoothies,3.75,oz,Like it!
01/19/2020 3:50:03 PM,Fruit smoothies,2.0,oz,Like it!
01/19/2020 9:32:06 AM,Oatmeal,4.25,oz,Like it!
01/18/2020 6:45:09 PM,Rice,2.0,oz,Love it!
01/18/2020 7:50:19 PM,Fruit smoothies,1.5,oz,Like it!
01/18/2020 9:16:13 AM,Oatmeal,1.55,oz,Like it!
01/18/2020 11:47:59 AM,Fruit smoothies,1.8,oz,Like it!
01/18/2020 9:32:27 AM,Fruit smoothies,0.6,oz,Hate it!
01/18/2020 6:10:06 PM,Fruit smoothies,0.4,oz,Hate it!
01/18/2020 10:10:17 AM,Fruit smoothies,2.75,oz,Like it!
01/18/2020 2:50:04 PM,Oatmeal,2.5,oz,Love it!
01/17/2020 3:55:08 PM,Rice cereal,2.0,oz,Hate it!
01/17/2020 6:46:36 PM,Rice,1.0,oz,Like it!
01/17/2020 9:43:16 AM,Fruit smoothies,1.7,oz,Like it!
01/17/2020 3:04:25 PM,Fruit smoothies,1.0,oz,Hate it!
01/17/2020 9:34:49 AM,Oatmeal,2.55,oz,Love it!
01/17/2020 12:25:44 PM,Rice,0.5,oz,Like it!
01/17/2020 5:35:23 PM,Fruit smoothies,0.8,oz,Hate it!
01/16/2020 3:05:13 PM,Oatmeal,1.5,oz,Like it!
01/16/2020 6:40:41 PM,Rice,1.0,oz,Love it!
01/16/2020 3:25:28 PM,Yogurt,5.5,oz,Like it!
01/16/2020 9:30:23 AM,Oatmeal,2.5,oz,Like it!
01/16/2020 3:40:41 PM,Rice,1.0,oz,Like it!
01/16/2020 9:40:00 AM,Fruit smoothies,3.75,oz,Like it!
01/16/2020 6:20:39 PM,Fruit smoothies,3.75,oz,Like it!
01/16/2020 12:05:31 PM,Oatmeal,2.5,oz,Like it!
01/16/2020 12:20:45 PM,Fruit smoothies,3.75,oz,Like it!
01/15/2020 3:20:27 PM,Yogurt,0.5,oz,Hate it!
01/15/2020 12:05:53 PM,Oatmeal,2.6,oz,Like it!
01/15/2020 6:03:37 PM,Yogurt,2.3,oz,Like it!
01/15/2020 12:15:13 PM,Fruit smoothies,3.75,oz,Like it!
01/15/2020 9:30:47 AM,Applesauce,3.0,oz,Like it!
01/15/2020 9:37:01 AM,Oatmeal,2.6,oz,Like it!
01/15/2020 12:30:58 PM,Nuts,0.2,oz,Like it!
01/15/2020 7:53:05 PM,Fruit smoothies,1.5,oz,Like it!
01/15/2020 9:45:18 AM,Fruit smoothies,3.75,oz,Like it!
01/15/2020 3:10:13 PM,Oatmeal,2.6,oz,Like it!
01/14/2020 9:40:03 AM,Fruit smoothies,3.75,oz,Like it!
01/14/2020 3:10:43 PM,Oatmeal,2.2,oz,Like it!
01/14/2020 7:50:24 PM,Fruit smoothies,2.3,oz,Like it!
01/14/2020 3:25:58 PM,Yogurt,5.3,oz,Like it!
01/14/2020 12:10:36 PM,Oatmeal,2.2,oz,Like it!
01/14/2020 12:30:48 PM,Fruit smoothies,3.75,oz,Like it!
01/14/2020 5:42:06 PM,Fruit smoothies,2.5,oz,Like it!
01/14/2020 9:30:34 AM,Oatmeal,2.2,oz,Like it!
01/14/2020 12:50:24 PM,Nuts,0.3,oz,Like it!
01/13/2020 12:40:06 PM,Nuts,0.6,oz,Like it!
01/13/2020 3:05:54 PM,Oatmeal,2.6,oz,Like it!
01/13/2020 5:44:46 PM,Fruit smoothies,1.7,oz,Like it!
01/13/2020 12:05:13 PM,Oatmeal,2.6,oz,Like it!
01/13/2020 3:25:08 PM,Yogurt,2.5,oz,Like it!
01/13/2020 7:47:53 PM,Fruit smoothies,1.4,oz,Like it!
01/13/2020 12:15:27 PM,Fruit smoothies,3.75,oz,Like it!
01/13/2020 9:30:29 AM,Oatmeal,2.6,oz,Like it!
01/13/2020 9:40:44 AM,Fruit smoothies,3.75,oz,Like it!
01/12/2020 9:50:15 AM,Oatmeal,1.0,oz,Like it!
01/12/2020 10:12:26 AM,Fruit smoothies,0.35,oz,Hate it!
01/12/2020 6:50:39 PM,Fruit smoothies,1.85,oz,Like it!
01/12/2020 12:50:41 PM,Nuts,0.2,oz,Like it!
01/12/2020 10:38:33 AM,Fruit smoothies,3.75,oz,Like it!
01/12/2020 4:13:16 PM,Yogurt,3.5,oz,Like it!
01/11/2020 5:20:46 PM,Fruit smoothies,3.75,oz,Love it!
01/11/2020 9:25:37 AM,Oatmeal,2.6,oz,Like it!
01/11/2020 6:37:34 PM,Yogurt,0.5,oz,Hate it!
01/11/2020 11:46:40 AM,Fruit smoothies,2.85,oz,Like it!
01/11/2020 9:40:18 AM,Fruit smoothies,1.1,oz,Like it!
01/11/2020 7:47:20 PM,Fruit smoothies,1.9,oz,Like it!
01/10/2020 10:47:15 AM,Fruit smoothies,0.6,oz,Hate it!
01/10/2020 9:50:21 AM,Fruit smoothies,0.7,oz,Like it!
01/10/2020 3:25:40 PM,Fruit smoothies,3.0,oz,Like it!
01/10/2020 7:50:50 PM,Fruit smoothies,1.6,oz,Like it!
01/10/2020 9:40:10 AM,Oatmeal,1.7,oz,Like it!
01/10/2020 4:49:47 PM,Oatmeal,3.0,oz,Like it!
01/10/2020 11:55:42 AM,Fruit smoothies,3.7,oz,Like it!
01/10/2020 3:40:03 PM,Yogurt,1.2,oz,Like it!
01/09/2020 9:40:55 AM,Fruit smoothies,3.75,oz,Like it!
01/09/2020 3:15:49 PM,Oatmeal,2.6,oz,Like it!
01/09/2020 7:55:46 PM,Fruit smoothies,3.45,oz,Like it!
01/09/2020 3:25:01 PM,Yogurt,5.3,oz,Like it!
01/09/2020 12:05:26 PM,Oatmeal,2.6,oz,Like it!
01/09/2020 12:15:44 PM,Fruit smoothies,3.75,oz,Like it!
01/09/2020 12:40:11 PM,Nuts,0.2,oz,Like it!
01/09/2020 6:50:31 PM,Fruit smoothies,0.9,oz,Like it!
01/09/2020 9:30:39 AM,Oatmeal,2.6,oz,Like it!
01/08/2020 3:20:27 PM,Yogurt,0.5,oz,Hate it!
01/08/2020 9:40:44 AM,Fruit smoothies,3.75,oz,Like it!
01/08/2020 7:17:45 PM,Fruit smoothies,2.0,oz,Like it!
01/08/2020 12:05:13 PM,Oatmeal,2.6,oz,Like it!
01/08/2020 12:15:30 PM,Fruit smoothies,3.75,oz,Like it!
01/08/2020 7:55:12 PM,Oatmeal,1.5,oz,Like it!
01/08/2020 12:25:46 PM,Nuts,0.4,oz,Like it!
