Begin time,End time
01/24/2020 12:58:00 PM,01/24/2020 12:59:00 PM
01/24/2020 1:08:00 PM,01/24/2020 3:45:00 PM
01/24/2020 7:58:00 PM,01/24/2020 7:59:00 PM
01/24/2020 8:03:00 PM,01/25/2020 7:51:00 AM
01/23/2020 1:10:00 PM,01/23/2020 3:00:00 PM
01/23/2020 8:13:00 PM,01/23/2020 8:14:00 PM
01/23/2020 4:33:00 AM,01/23/2020 7:34:00 AM
01/23/2020 8:20:00 PM,01/24/2020 8:00:00 AM
01/22/2020 12:58:00 PM,01/22/2020 12:59:00 PM
01/22/2020 8:05:00 PM,01/23/2020 4:33:00 AM
01/22/2020 1:03:00 PM,01/22/2020 3:32:00 PM
01/22/2020 8:00:00 PM,01/22/2020 8:01:00 PM
01/21/2020 1:55:00 PM,01/21/2020 2:45:00 PM
01/21/2020 7:55:00 PM,01/22/2020 7:27:00 AM
01/21/2020 7:48:00 PM,01/21/2020 7:49:00 PM
01/21/2020 12:43:00 PM,01/21/2020 12:44:00 PM
01/21/2020 12:52:00 PM,01/21/2020 1:53:00 PM
01/20/2020 7:59:00 PM,01/20/2020 8:00:00 PM
01/20/2020 7:01:00 AM,01/20/2020 7:59:00 AM
01/20/2020 8:29:00 PM,01/21/2020 8:00:00 AM
01/20/2020 1:07:00 PM,01/20/2020 3:30:00 PM
01/19/2020 8:13:00 PM,01/20/2020 6:58:00 AM
01/19/2020 1:05:00 PM,01/19/2020 2:50:00 PM
01/19/2020 2:55:00 PM,01/19/2020 3:29:00 PM
01/19/2020 8:06:00 PM,01/19/2020 8:07:00 PM
01/19/2020 12:57:00 PM,01/19/2020 12:58:00 PM
01/18/2020 12:53:00 PM,01/18/2020 12:54:00 PM
01/18/2020 12:56:00 PM,01/18/2020 1:25:00 PM
01/18/2020 8:06:00 PM,01/19/2020 7:47:00 AM
01/18/2020 1:28:00 PM,01/18/2020 2:43:00 PM
01/18/2020 7:58:00 PM,01/18/2020 7:59:00 PM
01/17/2020 1:04:00 PM,01/17/2020 2:20:00 PM
01/17/2020 2:21:00 PM,01/17/2020 3:07:00 PM
01/17/2020 8:04:00 PM,01/17/2020 8:05:00 PM
01/17/2020 12:54:00 PM,01/17/2020 12:55:00 PM
01/17/2020 8:15:00 PM,01/18/2020 7:35:00 AM
01/16/2020 7:59:00 PM,01/16/2020 8:00:00 PM
01/16/2020 8:27:00 PM,01/17/2020 7:38:00 AM
01/16/2020 1:10:00 PM,01/16/2020 3:00:00 PM
01/15/2020 8:08:00 PM,01/15/2020 8:09:00 PM
01/15/2020 8:31:00 PM,01/16/2020 8:00:00 AM
01/15/2020 6:52:00 AM,01/15/2020 7:20:00 AM
01/15/2020 1:00:00 PM,01/15/2020 3:00:00 PM
01/15/2020 7:21:00 AM,01/15/2020 7:43:00 AM
01/14/2020 8:00:00 PM,01/14/2020 8:01:00 PM
01/14/2020 5:35:00 AM,01/14/2020 7:24:00 AM
01/14/2020 7:26:00 AM,01/14/2020 7:49:00 AM
01/14/2020 8:05:00 PM,01/15/2020 6:50:00 AM
01/14/2020 1:00:00 PM,01/14/2020 3:00:00 PM
01/13/2020 7:52:00 PM,01/13/2020 7:53:00 PM
01/13/2020 1:00:00 PM,01/13/2020 3:00:00 PM
01/13/2020 7:55:00 PM,01/14/2020 5:34:00 AM
01/12/2020 8:09:00 PM,01/13/2020 8:00:00 AM
01/12/2020 1:48:00 PM,01/12/2020 2:31:00 PM
01/12/2020 12:58:00 PM,01/12/2020 12:59:00 PM
01/12/2020 7:58:00 PM,01/12/2020 7:59:00 PM
01/12/2020 2:36:00 PM,01/12/2020 3:30:00 PM
01/12/2020 1:04:00 PM,01/12/2020 1:46:00 PM
01/11/2020 12:57:00 PM,01/11/2020 2:19:00 PM
