Date,Vomit,Daycare,Doctor
11/21/2018,,0,
11/22/2018,1,0,
11/23/2018,1,0,
11/24/2018,,0,
11/25/2018,,0,
11/26/2018,,0,1
11/27/2018,,0,
11/28/2018,,0,
11/29/2018,1,0,
11/30/2018,,0,
12/01/2018,,0,
12/02/2018,,0,
12/03/2018,,0,1
12/04/2018,,0,
12/05/2018,,0,
12/06/2018,,0,
12/07/2018,1,0,
12/08/2018,,0,
12/09/2018,,0,
12/10/2018,,0,
12/11/2018,,0,
12/12/2018,,0,
12/13/2018,1,0,
12/14/2018,,0,
12/15/2018,,0,
12/16/2018,,0,
12/17/2018,,0,
12/18/2018,,0,
12/19/2018,,0,
12/20/2018,,0,
12/21/2018,1,0,
12/22/2018,1,0,
12/23/2018,1,0,
12/24/2018,,0,
12/25/2018,,0,
12/26/2018,1,0,
12/27/2018,1,0,1
12/28/2018,,0,1
12/29/2018,,0,
12/30/2018,,0,
12/31/2018,1,0,
01/01/2019,,0,
01/02/2019,1,0,
01/03/2019,,0,
01/04/2019,,0,
01/05/2019,,0,
01/06/2019,,0,
01/07/2019,,0,
01/08/2019,,0,
01/09/2019,,0,
01/10/2019,,0,1
01/11/2019,,0,
01/12/2019,,0,
01/13/2019,,0,
01/14/2019,,0,
01/15/2019,,0,
01/16/2019,,0,
01/17/2019,1,0,
01/18/2019,1,0,
01/19/2019,,0,
01/20/2019,1,0,
01/21/2019,,0,1
01/22/2019,,0,
01/23/2019,,0,
01/24/2019,,0,
01/25/2019,,0,
01/26/2019,1,0,
01/27/2019,1,0,
01/28/2019,,0,
01/29/2019,,0,
01/30/2019,,0,
01/31/2019,,0,
02/01/2019,,0,
02/02/2019,,0,
02/03/2019,,0,
02/04/2019,,0,
02/05/2019,,0,
02/06/2019,,0,
02/07/2019,,0,
02/08/2019,,0,
02/09/2019,1,0,
02/10/2019,,0,
02/11/2019,1,0,
02/12/2019,,0,
02/13/2019,1,0,
02/14/2019,,0,
02/15/2019,,0,
02/16/2019,,0,
02/17/2019,,0,
02/18/2019,,0,
02/19/2019,,0,
02/20/2019,,0,
02/21/2019,,0,
02/22/2019,,0,
02/23/2019,,0,
02/24/2019,,0,
02/25/2019,,0,
02/26/2019,,0,
02/27/2019,,0,
02/28/2019,,0,
03/01/2019,,0,
03/02/2019,,0,
03/03/2019,,0,
03/04/2019,,0,
03/05/2019,,0,
03/06/2019,,0,
03/07/2019,,0,
03/08/2019,,0,
03/09/2019,,0,
03/10/2019,,0,
