Diaper time,In the diaper,Color,Texture
05/21/2020 12:34:50 PM,pee and poo,yellow,Solid
05/21/2020 8:05:19 AM,pee,,
05/21/2020 3:40:36 PM,pee and poo,yellow,Solid
05/21/2020 8:18:15 PM,pee,,
05/20/2020 10:10:13 AM,pee and poo,yellow,Solid
05/20/2020 8:15:26 PM,pee,,
05/20/2020 8:09:03 AM,pee,,
05/19/2020 7:10:34 PM,pee and poo,yellow,Little balls
05/19/2020 5:16:53 PM,pee,,
05/19/2020 8:20:54 PM,pee,,
05/19/2020 8:03:23 AM,pee,,
05/19/2020 8:52:08 AM,pee and poo,yellow,Solid
05/18/2020 8:14:08 PM,pee,,
05/18/2020 10:15:34 AM,pee and poo,yellow,Solid
05/18/2020 3:35:33 PM,pee,,
05/18/2020 8:04:26 AM,pee,,
05/17/2020 8:04:04 AM,pee,,
05/17/2020 8:15:32 PM,pee,,
05/17/2020 3:24:54 PM,pee,,
05/17/2020 10:32:54 AM,pee and poo,yellow,Solid
05/16/2020 8:06:01 AM,pee,,
05/16/2020 8:20:29 PM,pee,,
05/16/2020 10:48:30 AM,pee and poo,yellow,Solid
05/15/2020 8:03:18 AM,pee,,
05/15/2020 7:00:52 PM,pee and poo,yellow,Mushy
05/15/2020 8:20:15 PM,pee,,
05/15/2020 3:42:04 PM,pee,,
05/15/2020 5:32:09 PM,pee and poo,yellow,Little balls
05/14/2020 3:23:47 PM,pee and poo,yellow,Runny
05/14/2020 8:15:56 PM,pee,,
05/14/2020 6:51:00 PM,pee and poo,yellow,Mushy
05/14/2020 10:22:43 AM,pee and poo,yellow,Solid
05/14/2020 8:07:41 AM,pee,,
05/13/2020 8:15:16 PM,pee,,
05/13/2020 10:50:02 AM,pee and poo,yellow,Solid
05/13/2020 12:58:08 PM,pee and poo,yellow,Solid
05/13/2020 8:05:49 AM,pee and poo,yellow,Little balls
05/12/2020 12:58:14 PM,pee,,
05/12/2020 5:40:33 PM,pee and poo,yellow,Solid
05/12/2020 8:06:59 PM,pee,,
05/12/2020 8:05:36 AM,pee,,
05/11/2020 1:01:13 PM,pee and poo,yellow,Solid
05/11/2020 8:33:26 AM,pee,,
05/11/2020 8:15:56 PM,pee,,
05/11/2020 9:19:58 AM,pee and poo,yellow,Mushy
05/10/2020 8:06:24 AM,pee,,
05/10/2020 9:34:36 AM,pee and poo,yellow,Solid
05/10/2020 8:15:16 PM,pee,,
05/09/2020 1:02:04 PM,pee,,
05/09/2020 3:40:17 PM,pee and poo,yellow,Little balls
05/09/2020 8:20:57 PM,pee,,
05/09/2020 8:05:49 AM,pee,,
05/09/2020 5:35:43 PM,pee and poo,yellow,Mushy
05/08/2020 8:02:23 AM,pee,,
05/08/2020 8:20:24 PM,pee,,
05/08/2020 10:25:41 AM,pee and poo,yellow,Mushy
