Time of feeding,Milk type,Amount(ml),Amount(oz)
01/24/2020 12:50:18 PM,Breast milk,80.0,2.7051
01/24/2020 10:47:21 AM,Breast milk,50.0,1.6907
01/24/2020 8:01:07 AM,Breast milk,60.0,2.0288
01/23/2020 7:45:10 PM,Breast milk,180.0,6.0865
01/23/2020 4:40:23 PM,Breast milk,110.0,3.7195
01/23/2020 3:25:23 PM,Breast milk,60.0,2.0288
01/23/2020 12:40:33 PM,Breast milk,60.0,2.0288
01/23/2020 9:30:36 AM,Breast milk,30.0,1.0144
01/23/2020 8:00:46 AM,Breast milk,95.0,3.2123
01/22/2020 7:45:57 PM,Breast milk,40.0,1.3526
01/22/2020 7:15:17 PM,Breast milk,140.0,4.734
01/22/2020 12:47:00 PM,Breast milk,65.0,2.1979
01/22/2020 10:18:47 AM,Breast milk,55.0,1.8598
01/22/2020 7:46:02 AM,Breast milk,105.0,3.5505
01/21/2020 7:35:14 PM,Breast milk,150.0,5.0721
01/21/2020 5:23:00 PM,Breast milk,95.0,3.2123
01/21/2020 12:35:15 PM,Breast milk,90.0,3.0433
01/21/2020 8:03:49 AM,Breast milk,120.0,4.0577
01/21/2020 10:01:25 AM,Breast milk,70.0,2.367
01/20/2020 7:37:58 PM,Breast milk,170.0,5.7484
01/20/2020 4:48:41 PM,Breast milk,95.0,3.2123
01/20/2020 4:00:03 PM,Breast milk,30.0,1.0144
01/20/2020 12:40:09 PM,Breast milk,60.0,2.0288
01/20/2020 9:50:01 AM,Breast milk,60.0,2.0288
01/20/2020 8:25:52 AM,Breast milk,30.0,1.0144
01/20/2020 8:01:53 AM,Breast milk,100.0,3.3814
01/19/2020 7:44:37 PM,Breast milk,180.0,6.0865
01/19/2020 4:45:46 PM,Breast milk,70.0,2.367
01/19/2020 12:35:03 PM,Breast milk,100.0,3.3814
01/19/2020 10:25:30 AM,Breast milk,40.0,1.3526
01/19/2020 7:58:24 AM,Breast milk,120.0,4.0577
01/18/2020 7:40:13 PM,Breast milk,175.0,5.9174
01/18/2020 3:10:41 PM,Breast milk,150.0,5.0721
01/18/2020 10:17:33 AM,Breast milk,95.0,3.2123
01/18/2020 7:50:55 AM,Breast milk,95.0,3.2123
01/17/2020 7:41:05 PM,Breast milk,150.0,5.0721
01/17/2020 4:40:46 PM,Breast milk,120.0,4.0577
01/17/2020 12:50:27 PM,Breast milk,90.0,3.0433
01/17/2020 10:10:31 AM,Breast milk,100.0,3.3814
